catalog_name,schema_name,table_name,full_name,position,column_name,type_name,type_text,nullable,semantic_role
dev_iqvia_catalog,trusted_starschema_01,f_channel_dynamic_data,dev_iqvia_catalog.trusted_starschema_01.f_channel_dynamic_data,10,COMUNICATION_CHANNEL_ID,LONG,bigint,True,business_key
dev_iqvia_catalog,trusted_starschema_01,f_channel_dynamic_data,dev_iqvia_catalog.trusted_starschema_01.f_channel_dynamic_data,11,PRESENTATION_POSITION_ID,LONG,bigint,True,business_key
dev_iqvia_catalog,trusted_starschema_01,f_channel_dynamic_data,dev_iqvia_catalog.trusted_starschema_01.f_channel_dynamic_data,12,DETAILS_DURATION_ID,LONG,bigint,True,business_key
dev_iqvia_catalog,trusted_starschema_01,f_channel_dynamic_data,dev_iqvia_catalog.trusted_starschema_01.f_channel_dynamic_data,13,VISIT_DURATION_ID,LONG,bigint,True,business_key
dev_iqvia_catalog,trusted_starschema_01,f_channel_dynamic_data,dev_iqvia_catalog.trusted_starschema_01.f_channel_dynamic_data,14,SPONSORING_COMPANY_ID,LONG,bigint,True,business_key
dev_iqvia_catalog,trusted_starschema_01,f_channel_dynamic_data,dev_iqvia_catalog.trusted_starschema_01.f_channel_dynamic_data,15,MEETING_TYPE_ID,LONG,bigint,True,business_key
dev_iqvia_catalog,trusted_starschema_01,f_channel_dynamic_data,dev_iqvia_catalog.trusted_starschema_01.f_channel_dynamic_data,16,MATERIAL_LEFT_PROMOTIONAL_PRODUCT_LIT_ID,LONG,bigint,True,business_key
dev_iqvia_catalog,trusted_starschema_01,f_channel_dynamic_data,dev_iqvia_catalog.trusted_starschema_01.f_channel_dynamic_data,17,MATERIAL_LEFT_PATIENT_EDUCATIONAL_LIT_ID,LONG,bigint,True,business_key
dev_iqvia_catalog,trusted_starschema_01,f_channel_dynamic_data,dev_iqvia_catalog.trusted_starschema_01.f_channel_dynamic_data,18,MATERIAL_LEFT_OTHER_ID,LONG,bigint,True,business_key
dev_iqvia_catalog,trusted_starschema_01,f_channel_dynamic_data,dev_iqvia_catalog.trusted_starschema_01.f_channel_dynamic_data,19,INTERNATIONAL_BRAND_ID,LONG,bigint,True,business_key
dev_iqvia_catalog,trusted_starschema_01,f_channel_dynamic_data,dev_iqvia_catalog.trusted_starschema_01.f_channel_dynamic_data,20,LOCAL_BRAND_ID,LONG,bigint,True,business_key
dev_iqvia_catalog,trusted_starschema_01,f_channel_dynamic_data,dev_iqvia_catalog.trusted_starschema_01.f_channel_dynamic_data,21,CORPORATION_ID,LONG,bigint,True,business_key
dev_iqvia_catalog,trusted_starschema_01,f_channel_dynamic_data,dev_iqvia_catalog.trusted_starschema_01.f_channel_dynamic_data,22,COUNTRY_ID,LONG,bigint,True,business_key
dev_iqvia_catalog,trusted_starschema_01,f_channel_dynamic_data,dev_iqvia_catalog.trusted_starschema_01.f_channel_dynamic_data,23,NPS_SCALE_ID,LONG,bigint,True,business_key
dev_iqvia_catalog,trusted_starschema_01,f_channel_dynamic_data,dev_iqvia_catalog.trusted_starschema_01.f_channel_dynamic_data,24,PRODUCT_PRESENTED_ID,LONG,bigint,True,business_key
dev_iqvia_catalog,trusted_starschema_01,f_channel_dynamic_data,dev_iqvia_catalog.trusted_starschema_01.f_channel_dynamic_data,25,PRESCRIPTION_CURRENT_ID,LONG,bigint,True,business_key
dev_iqvia_catalog,trusted_starschema_01,f_channel_dynamic_data,dev_iqvia_catalog.trusted_starschema_01.f_channel_dynamic_data,26,MATERIAL_LEFT_ABSTR_CLINICAL_LIT_DATA_ID,LONG,bigint,True,business_key
dev_iqvia_catalog,trusted_starschema_01,f_channel_dynamic_data,dev_iqvia_catalog.trusted_starschema_01.f_channel_dynamic_data,27,PRESCRIPTION_FUTURE_ID,LONG,bigint,True,business_key
dev_iqvia_catalog,trusted_starschema_01,f_channel_dynamic_data,dev_iqvia_catalog.trusted_starschema_01.f_channel_dynamic_data,28,CONTACT_NUMBER,DECIMAL,"decimal(38,16)",True,measure
dev_iqvia_catalog,trusted_starschema_01,f_channel_dynamic_data,dev_iqvia_catalog.trusted_starschema_01.f_channel_dynamic_data,29,MENTIONS,DECIMAL,"decimal(38,16)",True,measure
